feedback,sentiment,nps,service_advisor_name,brand_name,branch,date,promoters,passive,detractor,category,topic
Good service,positive,10,11810Nabeel A.,Nissan,NISSAN Service Airport Road,2023-02-23,1,0,0,,
Thank you for your attention,positive,10,11795Mohamed Mohsen,Nissan,NISSAN Service Al Ain,2023-02-23,1,0,0,,
The car wash they did not clean the car good when i took it half was clean and other half dirty,negative,8,7730Mohamed El Wazir,Nissan,NISSAN Service Al Ain,2023-02-23,0,1,0,,
Please focus on washing vehicles upon completion of maintenance. It was noted that washing is done randomly and there is no interest in it.,negative,10,11792Mohammed Osman,Nissan,NISSAN Service Airport Road,2023-02-23,1,0,0,,
"Staff very friendly, professional, and communicative.  ",positive,10,12116Aries M.,Nissan,NISSAN Service Mussafah,2023-02-24,1,0,0,,
I would like to thank to all the staff from Nissan Airport Road for assisting me yesterday. To Mr. Rolando counter #7 thank you Sir.,positive,10,11714Ronaldo P.,Nissan,NISSAN Service Airport Road,2023-02-24,1,0,0,,
"The service is excellent, try to control the prices a little.",positive,9,12083Sachin Kumar,Nissan,NISSAN Service Mussafah,2023-02-24,1,0,0,,
The difference in the price of spare parts is upon call and upon payment. Thank you,positive,9,13031Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-02-24,1,0,0,,
Reduce your prices because it is simply too high and you are using the warranty to rip us off,negative,0,11348Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-02-24,0,0,1,,
"Very good support team and special thanks to Mr. Anned . 

",positive,10,13034Anandhakrishnan,Nissan,NISSAN Service Airport Road,2023-02-25,1,0,0,,
Excellent quality,positive,10,1947Aswad Karim,Nissan,NISSAN Service Al Ain,2023-02-25,1,0,0,,
Mr. Kamal‚Äôs help to secure the part in question so soon was invaluable. Thank you so much.,positive,10,11704Kamal Al Saber,Renault,RENAULT Service Mussafah,2023-02-25,1,0,0,,
Thanks for good service,positive,10,11714Ronaldo P.,Nissan,NISSAN Service Airport Road,2023-02-25,1,0,0,,
Thanks to mr faisal,positive,10,3014Faisal Ali Ahmed,Nissan,NISSAN Service Al Ain,2023-02-25,1,0,0,,
"Great Service advisor, kept us in the loop throughout ",positive,9,11815Avtik Raje,Nissan,NISSAN Service Airport Road,2023-02-25,1,0,0,,
Keep doing a same,negative,10,11795Mohamed Mohsen,Nissan,NISSAN Service Al Ain,2023-02-25,1,0,0,,
Reevaluate the price for the services. It is expensive compared to other brands,negative,9,13031Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-02-25,1,0,0,,
"Actually I have concern that the car consume more petrol by around 60-70% more than average, I was informed that it was OK,
Still this issue not fixed ",negative,8,11714Ronaldo P.,Nissan,NISSAN Service Airport Road,2023-02-25,0,1,0,,
"I appreciated the customer service, offering a drink upon arrival. He was very kind and patient.
I do not understand why I should pay for taxi service to get back home, it should be included to the service package I purchased. ",negative,9,11815Avtik Raje,Nissan,NISSAN Service Airport Road,2023-02-25,1,0,0,,
"Please consider the following points:

1. I had an appointment at 11 am, i submitted car at 11:15, normally it took 2 or maximum 3 hours everytime i visited before,. But this time even after 4 hours i went myself and work was not done.

2. The car was not properly clean from inside.

3. I did service on Saturday, on sunday i stayed at home, didn't use car. On Mondays, i was not able to start car as battery was down, they said change battery so i changed.
It means, the service team didn't check battery health or may be it was not included in the package.

4. Still i m feeling a frictional driving sense as it was before service. Because after every service, the car drives very smoothly because of oil change and other things. But this is not true for me this time. I don't know why. ",negative,4,12171Janidu Harindra,Nissan,NISSAN Service Mussafah,2023-02-25,0,0,1,,
"Parag was really a very helpful and professional, most top service i can always get. He always ensure i get the best service and he will always keep you updated even if it’s already late night",positive,10,Parag Laxmayyan,,,2023-02-27,1,0,0,,
Thanks for all,positive,10,Ali Musa,,,2023-02-27,1,0,0,,
"Providing replacement cars, especially in the Infinity Maintenance Office, even if they are rented temporarily. Thank you for your excellent treatment. Thank you to the employee Khalil in the customer service department for Infinity Mussafah for his good treatment ",positive,10,11348Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-02-27,1,0,0,,
"Just continue to provide the same level of service and customer experience, the employee who dealt with me was extremely helpful and polite. He made the experience very easy for me and explained things well, I will call him next time it‚Äôs time to get anything fixed or serviced on my Nissan as he was so helpful ",positive,10,13031Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-02-27,1,0,0,,
More discount please,negative,0,Hany Sobhy,,,2023-02-27,0,0,1,,
"I want to point out some issue that is always happening which is i need to pay an extra amount upon almost each visit aside than 1.5 yearly subscription. This service as per your employees should be done no matter what. Thus, why i need to pay ahead of time for every 3 services - 10,000 KM if there will be an extra charge almost every time. Kindly be noted that it is not a broken part or something that popped out upon the service. It is a part of the major service that should be done before even checking the car upon submitting the keys to nissan to proceed with the service(I think it is engine cleaning).Moreover, upon proceeding with the payment the cashier was too slow busy with all of the paper work with each customer which almost took maybe more than 5 minutes just waiting for the employee to print out the paper organizing them finish his paperwork than to proceed with the payment. Also, it was not organized at all. For example, we were 4 standing in line, one of the employees told the 4th person( which is considered the last one) to go to cashier 2. What about the first 3 people that were waiting in line for more than 10 minutes and why the 4th person which didnt wait for 2 minutes to go ahead of the waiting people to proceed with her payment. 
On the other hand, Marla’s customer service was really good. She explained all details in a professional way. ",negative,5,Marla Nunez,,,2023-02-27,0,0,1,,
Thanks for Mr Faisal Alshamsi for his support and assistance,positive,10,3014Faisal Ali Ahmed,,,2023-02-28,1,0,0,,
"Compassion in the price of parts 
So is the taxi",positive,9,Aswad Karim,,,2023-02-28,1,0,0,,
Thank you brother Mohammed Al Wazir for his ethics and good treatment,positive,10,7730Mohamed El Wazir,,,2023-02-28,1,0,0,,
There was a delay in receiving the car,positive,2,Anandhakrishnan,,,2023-02-28,0,0,1,,
View accessories,positive,10,Marshood TP,,,2023-02-28,1,0,0,,
I have no complaints because the car is very good and your treatment is excellent with me ♥️,positive,10,Muhammad Habib,,,2023-02-28,1,0,0,,
The service was great,positive,10,Charbel Semaan,,,2023-02-28,1,0,0,,
Please provide offers for checks as before,positive,10,Sachin Kumar,,,2023-02-28,1,0,0,,
Thank you for your good treatment and care,negative,10,Khalil Rahman,,,2023-02-28,1,0,0,,
"I want to thank charbel for his hard work to help me , he is obe of the best stuff that i transacted with him ",negative,10,Charbel Semaan,,,2023-02-28,1,0,0,,
Feedback after service,negative,5,Mahmoud Wahhab,,,2023-02-28,0,0,1,,
The agent who was take care of me he was very excellent,positive,10,Avtik Raje,,,2023-03-01,1,0,0,,
Service contract price is very high,positive,7,Mohammed Osman,,,2023-03-01,0,1,0,,
Reduce the price,negative,9,Charbel Semaan,,,2023-03-01,1,0,0,,
Maintenance customers are very bad,negative,0,Abuthahir T.S.,,,2023-03-01,0,0,1,,
Worst service workshop in Abu Dhabi. Car was idle for more than 3 weeks trying to find a contractual hole to escape from your warranty responsibility. Simply over rated prices and lacks professionalism and work ethics! Never coming back,negative,0,Khalil Rahman,,,2023-03-01,0,0,1,,
"No place for female waiting area or wash room , also I want to rent a car to complete full services but I couldn't because she request to deposit 2000 dirhams as warranty to rent 175 dirham car for one day .. soo disappointed then I left without full services..",negative,1,Marla Nunez,,,2023-03-01,0,0,1,,
Amazing service,positive,10,Charbel Semaan,,,2023-03-02,1,0,0,,
service advisor explanation is good,positive,9,Vivian Rodricks,,,2023-03-02,1,0,0,,
I would like to thank mr Mohammed Al wazeer on his excellent customer services on al ain branch,positive,10,7730Mohamed El Wazir,,,2023-03-02,1,0,0,,
Change the warranty company,negative,0,Mohd Noureldin,,,2023-03-02,0,0,1,,
The car not washed,negative,1,Javad Amiri,,,2023-03-02,0,0,1,,
"Poor communication. I was not updated regularly when my car will be delivered. After lots of calls from my end as I have only one car to use, my car was delivered at 8PM. The service staff did not sort out all concerns about the car.",negative,5,Khalil Rahman,,,2023-03-02,0,0,1,,
Best coustemor serivice thangs,positive,10,3014Faisal Ali Ahmed,,,2023-03-03,1,0,0,,
All thanks to the employee Faisal,positive,10,3014Faisal Ali Ahmed,,,2023-03-03,1,0,0,,
Mahmoud was really helpful and respectful. He gave me the best customer service I've ever had in my whole life,positive,10,Mohd Noureldin,,,2023-03-03,1,0,0,,
Ahmed in the work shop ريال طيب وخدوم,positive,10,Md Sekander,,,2023-03-03,1,0,0,,
"Train staff to prioritize and ornamize the appointments more efficiently 
Perper all needed tool/items technician required for the maintenance day ",positive,3,Marla Nunez,,,2023-03-03,0,0,1,,
"Customer always looking for a complementary/ gift, therefore, I prefer to provide a client's vehicle an air freshener and or gift voucher if the cost of the service is more than AED.1500/-.

Also, We hope to decrease the labor charge.
",positive,10,Nabeel A.,,,2023-03-03,1,0,0,,
"Thank you for giving us chanc to participate on giving our feedback 
I just need to add if you please re-evaluate the parts price overall since it seems quite high. Thank you again ",negative,9,Parag Laxmayyan,,,2023-03-03,1,0,0,,
Good service,positive,10,Charbel Semaan,,,2023-03-04,1,0,0,,
I am satisfied and happy with the services but if you can reduce charge,positive,10,Kamal Al Saber,,,2023-03-04,1,0,0,,
Mr. Mohammed and Mr. Charbel very helpful and supportive during services my car,positive,10,Charbel Semaan,,,2023-03-04,1,0,0,,
Maybe a coffee machine in the waiting area?,positive,9,Ronaldo P.,,,2023-03-04,1,0,0,,
Suha is most active person caring a lot about our issue and do the job in perfect timing with follow up and feed back few times during the period of maintenance or repairing.,positive,10,Suha Ali,,,2023-03-06,1,0,0,,
"It was great experience with Mr, Nikhil. Thank you so much ",positive,10,Nikhil Dinesh Karnad,,,2023-03-06,1,0,0,,
Remain the same…everything is good and fast,positive,10,Vivian Rodricks,,,2023-03-06,1,0,0,,
The agent was excellent and cooperative. Did his best to keep me in the picture and updated in regards of my issue,positive,10,Vivian Rodricks,,,2023-03-06,1,0,0,,
Thanks for everything,positive,10,Anandhakrishnan,,,2023-03-06,1,0,0,,
"Your client server, Marla is simply superb. She has excellent mannerisms. She is polite, courteous and most importantly honest in her dealings. I bring my car to Nissan simply because of her. ",positive,10,Marla Nunez,,,2023-03-06,1,0,0,,
Thank you for mr fisal in Alain branch,positive,10,3014Faisal Ali Ahmed,,,2023-03-06,1,0,0,,
Vivian was very helpful. Thanks for your service vivian,positive,10,Vivian Rodricks,,,2023-03-06,1,0,0,,
Choosing highly credible employees Training employees to respect the customer and clarify information in a real way,positive,1,Mahmoud Wahhab,,,2023-03-06,0,0,1,,
Thank You for your services,positive,10,Hany Sobhy,,,2023-03-06,1,0,0,,
"Expecting a slight reduction in the labour charge,try not to charge the labour cost for each pats change ,only suggestion. ",positive,10,Hany Sobhy,,,2023-03-06,1,0,0,,
The staff was very fast to deliver the car to me,negative,10,Anandhakrishnan,,,2023-03-06,1,0,0,,
The service consultant was not clear about the value of the scan.,negative,2,Mohammed Osman,,,2023-03-06,0,0,1,,
No comments,negative,10,Abuthahir T.S.,,,2023-03-06,1,0,0,,
"After the service, I noticed the ignition is not working as it was when I gave the car. I also have noticed the engine indicator light has come on indicating some problem. This also wasn't there when I gave the car for service.",negative,3,Avtik Raje,,,2023-03-06,0,0,1,,
"Car was not cleaned well after service as no discount was mentioned until i reached casher he notified me that i can use Mazaya Adnoc & Fazaa

Im not satisfied with the price as i bought the car in cash ",negative,3,Mohammed Osman,,,2023-03-06,0,0,1,,
Excellent service!!,positive,10,Mohammed Osman,,,2023-03-07,1,0,0,,
Thanks for amazing services,positive,10,Avtik Raje,,,2023-03-07,1,0,0,,
Good service,positive,9,Avtik Raje,,,2023-03-07,1,0,0,,
"I would like to thank Mohamed El-Masry employee at Al Masaood Agency, Bidaa Zayed branch, for his efforts and credibility",positive,10,Mohd Noureldin,,,2023-03-07,1,0,0,,
One area of improvement the delivery of the car to the workshop. I had to wait few days till you arranged the truck to take my car to your workshop,positive,9,Khalil Rahman,,,2023-03-07,1,0,0,,
almasood should give more discount to more satisfaing for castomers,negative,8,Marla Nunez,,,2023-03-07,0,1,0,,
Fast response,negative,9,Harish V.,,,2023-03-07,1,0,0,,
Washing and front engine cleaning were not satisfactory as it’s look like done only for some one sake pls educate ur staff to do services at its better quality,negative,5,Aries M.,,,2023-03-07,0,0,1,,
Excellent experience especially from the receptionist,positive,10,Faisal AliAhmed,,,2023-03-08,1,0,0,,
Excellent service,positive,10,Avtik Raje,,,2023-03-08,1,0,0,,
It gives you good health,positive,10,Anandhakrishnan,,,2023-03-08,1,0,0,,
The jentelman was amazing in during the service,positive,10,Avtik Raje,,,2023-03-08,1,0,0,,
"All I can say is that I’m never going back to Al Masaood Motors again and I wouldn’t recommend anyone to go there, worst experience ever.",negative,0,Mahmoud Wahhab,,,2023-03-08,0,0,1,,
"Service advisor was really good.

But call center and front desk team are pathetic. Doesnt know basic things!!!",negative,10,Nabeel A.,,,2023-03-08,1,0,0,,
It was helpfully & quick service and I’m sure will be extra helpful quick nice and it was awesome,positive,10,Marla Nunez,,,2023-03-09,1,0,0,,
The staff is great,positive,10,Abuthahir T.S.,,,2023-03-09,1,0,0,,
The problem in the car that was highlighted in the beginning is yet to be rectified,negative,8,Harish V.,,,2023-03-09,0,1,0,,
The sales personal was not clear and try to cheat me. The first report was almost 45000$ DA and the label work was 15000 from the total amount. I tried to change some items to lower the total amount he revised the total amount to be about 35000 DA and the later work increased to more than 16000 from the total amount. I think I will never go back to Nissan or Al Masaood.,negative,0,Janidu Harindra,,,2023-03-09,0,0,1,,
"The service book stamping was denied, I really believe it’s not fair and the service book should be stamped..",negative,8,Nabeel A.,,,2023-03-09,0,1,0,,
The service is very expensive and it is not taken into account and there is no good explanation of what will be done in the car,negative,5,Ronaldo P.,,,2023-03-09,0,0,1,,
"Continuity in doing business such as what is important and for the best. Al Masaood leadership does not need guidance to develop its services
I thank all the service staff",positive,10,Faisal AliAhmed,,,2023-03-10,1,0,0,,
The service was excellent. Brother Adnan was treated very professionally.,positive,10,dnan Aslam,,,2023-03-10,1,0,0,,
Thank you all,positive,10,Mohammed Osman,,,2023-03-10,1,0,0,,
Good job for overall and special Ronaldo Exelant job,positive,8,Ronaldo P.,,,2023-03-10,0,1,0,,
Free taxi service within city limits,positive,9,Avtik Raje,,,2023-03-10,1,0,0,,
fdiendly service advisor and team,positive,10,Ronaldo P.,,,2023-03-10,1,0,0,,
Car pickup and delivery service will be useful,positive,10,Aswad Karim,,,2023-03-10,1,0,0,,
Abu was great,positive,10,Abuthahir T.S.,,,2023-03-10,1,0,0,,
Excellent service provided by Mr.Aswad Karim. Really appreciate his support.,positive,9,Aswad Karim,,,2023-03-11,1,0,0,,
Keep improving,positive,10,Aries M.,,,2023-03-11,1,0,0,,
Eskander was extremely helpful and supportive,positive,9,Md Sekander,,,2023-03-11,1,0,0,,
"Overall unsatisfied, raised a complain on web portal. ",positive,5,Avtik Raje,,,2023-03-11,0,0,1,,
Price reduction,negative,8,Abuthahir T.S.,,,2023-03-11,0,1,0,,
The service was very expensive,negative,4,Avtik Raje,,,2023-03-11,0,0,1,,
Car was not washed from inside,negative,3,Nikhil Dinesh Karnad,,,2023-03-11,0,0,1,,
Moving forward and thanks to all the staff.,positive,10,Salwa Rboub,,,2023-03-13,1,0,0,,
Hope that there is a free ride from point to point while my car is on service.,positive,10,Vivian Rodricks,,,2023-03-13,1,0,0,,
A lot of thanks to the advisor Mr.Khalil for his cooperation and services,positive,10,Khalil Rahman,,,2023-03-13,1,0,0,,
Sikander understand client requirement and provide solutions to clients.,positive,10,Md Sekander,,,2023-03-13,1,0,0,,
"I extended the service warranty and paid for it, yet every time i have to pay for something extra. Why offer an extended warranty that doesn’t include many things. The lights in the guage in the dashboard are not working, they told me it would cost 5000 dirhams to replace!! It’s not a consumable item. ",negative,3,Salwa Rboub,,,2023-03-13,0,0,1,,
"It was all smooth and perfect, thank you so much for your excellent service. ",positive,10,Aries M.,,,2023-03-14,1,0,0,,
Sajen komar is the best,positive,10,Sachin Kumar,,,2023-03-14,1,0,0,,
Only when booking an appointment by phone. I hope it will be fast and not take much time,negative,10,Avtik Raje,,,2023-03-14,1,0,0,,
"
The laundry is very tiring 
Car delay and maintenance 
Parts are not available ",negative,1,Aswad Karim,,,2023-03-14,0,0,1,,
Excellent follow up,positive,10,Adnan Aslam,,,2023-03-15,1,0,0,,
Mohamed osman in airport road branch is one of the best maintenance adviser i have dealt with.. very professional.,positive,10,Mohammed Osman,,,2023-03-15,1,0,0,,
It’s was a shame to get extra 50 AED for Taxi charges which is already cost 25 AED I think this was a worset decision from management and will give a bad feedback from all Al Masaood client,negative,9,Marla Nunez,,,2023-03-15,1,0,0,,
Under warranty items approval take long time and after 2 days telling it's not cover,negative,0,Muhammad Habib,,,2023-03-15,0,0,1,,
Thank you Faisal al shamisi,positive,10,Faisal AliAhmed,,,2023-03-16,1,0,0,,
Thank you but,positive,10,Aswad Karim,,,2023-03-16,1,0,0,,
Technician need to communicate with clients about work scheame,positive,9,Khalil Rahman,,,2023-03-16,1,0,0,,
Continue on the same success,negative,10,Vivian Rodricks,,,2023-03-16,1,0,0,,
"Upon completion of car maintenance by you, please activate a service such as cooperation with the security officer to leave the car key for the customer to receive it at any time after working hours. This is in the event that there are no financial dues to you from the customer",negative,10,Faisal AliAhmed,,,2023-03-16,1,0,0,,
"The entire car should have been checked as mentioned in the maintenance report, but virtual things such as the handbrake were not remaintained 
The tires were not checked as the air pressure was low and attention was not paid to it 
This is clear to me. There is no problem with the rest of the technical matters 
The maintenance was not done and the service worked in the normal and agreed manner as required and I am very upset",negative,3,Mohammed Osman,,,2023-03-16,0,0,1,,
"It's hard to find an appointment for car service
I had a problem with the car pads and they were replaced and I was asked to pay the amount of the car even though the service contract is free!!",negative,4,Mohammed Osman,,,2023-03-16,0,0,1,,
Great service by Vivian!,positive,10,Vivian Rodricks,,,2023-03-17,1,0,0,,
"Need to be more accurate, as before. I have been with you since 2008",positive,5,Marla Nunez,,,2023-03-17,0,0,1,,
"Thank you for the great experience.
👍 ",positive,10,Janidu Harindra,,,2023-03-17,1,0,0,,
Increase working hours to 9 pm to receive and receive vehicles,positive,9,Md Sekander,,,2023-03-17,1,0,0,,
good work by Adnan,positive,10,Adnan Aslam,,,2023-03-18,1,0,0,,
Thanks a lot for Mr. Hakeem,positive,10,Aswad Karim,,,2023-03-18,1,0,0,,
Charbel was very helpful,positive,10,Charbel Semaan,,,2023-03-18,1,0,0,,
Service advisor give me an excellent explanation and provide an amazing end product,positive,9,Juan Kasilag,,,2023-03-18,1,0,0,,
Offer more offers or discounts to Fazaa and Hama Al Watan cardholders,positive,9,Aswad Karim,,,2023-03-18,1,0,0,,
Availability of the spare parts is my one main concern.,positive,9,Hany Sobhy,,,2023-03-18,1,0,0,,
"There was a sound while turning the steering and no one from your side could know the reason. Even they deny any sound . Afterall , agreed to send my car to dubai service center as the car is under their warranty.",negative,7,Harish V.,,,2023-03-18,0,1,0,,
"1. Things like coins and USB cable disappeared from the car! They are hardly valuables.
2. Parking is a nightmare at renault side
",negative,5,Kamal Al Saber,,,2023-03-18,0,0,1,,
Was perfect and fast,positive,8,Harish V.,,,2023-03-20,0,1,0,,
Mr Adnan should be commended for his professionalism and friendliness!,positive,10,Adnan Aslam,,,2023-03-20,1,0,0,,
Arrange a customer lounge for car owners when waiting to complete the service of cars,positive,10,Avtik Raje,,,2023-03-20,1,0,0,,
Would like to have the same advisor marla for all my future services,positive,10,Marla Nunez,,,2023-03-20,1,0,0,,
I’m traveling from Ajman to Al Ain for handover my car to two gentleman Mr.Mohammed and Mr.Charpel because I’m trusting them for resolving my car issues and providing me a mazing service .,negative,10,Charbel Semaan,,,2023-03-20,1,0,0,,
"Drop back facility to city is so expensive. While selling car it was mentioned that it is free drop service while service. 52.5 dhs is overpriced, as we can finish oil change and filter change in ADNOC in adding few little money and in very quick time. Of course there is quality with Al Masaood however your organization also should know that we are spending a lot of money on service. Thanks, it just my thoughts. ",negative,6,Kamal Al Saber,,,2023-03-20,0,0,1,,
Explain what is not covered in service plan and what is value added.,negative,10,Moamen Mohamed,,,2023-03-20,1,0,0,,
"I would like the maintenance to have remained on Airport road. It is nowhere near as convenient. 
I do not like having to travel to or through Mussafa. This seems like a cost savings for the company at the expense of the customer. Also most females I know including my wife don’t like or feel comfortable traveling there. 
",negative,9,Hany Sobhy,,,2023-03-20,1,0,0,,
Nice customer service,positive,10,Khalil Rahman,,,2023-03-21,1,0,0,,
Harish is amazing. He is the only reason I come to Al Masaood for my car service.,positive,10,Harish V.,,,2023-03-21,1,0,0,,
"Keep it up, as usual.
Thanks",positive,10,Marla Nunez,,,2023-03-21,1,0,0,,
Keep up the good work,positive,10,Marla Nunez,,,2023-03-21,1,0,0,,
Long time to finish the repair because spare part not available. Did not offer me a replacement car despite the long time of waiting,negative,0,Khalil Rahman,,,2023-03-21,0,0,1,,
"Great service.... Appreciate the professionalism of Mr. Anand, the representative who attended me. Keep it up. ",positive,10,Anandhakrishnan,,,2023-03-22,1,0,0,,
"The service is excellent and the staff are professional collaborators, and forward",positive,10,dnan Aslam,,,2023-03-22,1,0,0,,
Vivian made the difference!,positive,10,Vivian Rodricks,,,2023-03-22,1,0,0,,
Big thank to Mr.bilal,positive,9,Muhammad Habib,,,2023-03-22,1,0,0,,
"I would like to thank Mr.Mohamed the customer Service Consultant in Madinat Zayed workshop for his professionalism , Support and excellent customer service ",positive,10,Mohd Noureldin,,,2023-03-22,1,0,0,,
"Service provided by Mr. Adnan was very commendable. 
Spare parts costing must be discounted for regular customer atleast. It very high as compared to other service centre. ",positive,10,Adnan Aslam,,,2023-03-22,1,0,0,,
I would like to thanks MR janidu for hospitality and communications l hope all the staff like him,negative,10,Janidu Harindra,,,2023-03-22,1,0,0,,
"I had visited the Al Masood showroom for a problem in my car, the showroom technical team couldn’t find the problem and I had to take it to a local garage to lift it up and find the issue by myself. The issue was from the differential side and i took the car to the Nissan showroom and asked them to do the same way I did in my presence. I had to point out the fault to the showroom team.As I am a mechanical engineer I never give up to trace the fault and diagnosed it.Hope the same or more diagnosing skill should be exhibited by the Nissan team.
Thank you ",negative,7,Sachin Kumar,,,2023-03-22,0,1,0,,
"Please organize the delivery and receipt of the car through numbers and do not focus on only one employee, which causes overcrowding of auditors and therefore delays",negative,9,Nabeel A.,,,2023-03-22,1,0,0,,
Excellent support and service,positive,10,Kamal Al Saber,,,2023-03-23,1,0,0,,
"Keep doing what you're doing, Mr. June is very informative and helpful and provides outstanding service. ",positive,10,Juan Kasilag,,,2023-03-23,1,0,0,,
The handler Janidu was extremely helpful and pro active. Should have people like this who are really customer oriented.,positive,8,Janidu Harindra,,,2023-03-23,0,1,0,,
Excellent services,negative,10,Mohd Noureldin,,,2023-03-23,1,0,0,,
Service has become a business more than ever and it is obvious more than ever that all the team has one an a single target given by the management: Like a vampire suck money from the customer by all means you can find possible.,negative,6,Anandhakrishnan,,,2023-03-23,0,0,1,,
"In the last two times of the service, the car wash was great and the speed of receiving the car. I hope that there will be alternative cars at the time of the car in maintenance. As well as delivery and receipt of the car for maintenance",negative,10,Charbel Semaan,,,2023-03-23,1,0,0,,
"I am not satisfied with the services provided because they lack quality and the prices are very high
A I’m really thinking about selling my car ",negative,1,Sachin Kumar,,,2023-03-23,0,0,1,,
thank you and thank for Mr adnan,positive,10,Adnan Aslam,,,2023-03-24,1,0,0,,
Labour charges very high,positive,7,Vivian Rodricks,,,2023-03-24,0,1,0,,
There were used water bottle and dirty paper present inside th car at the time of delivery. Tyre pressure was 36 in all the tyres while it should be 33 and 30. I have pic of the tyre pressure screen. Don’t know whether all the required points has been checked by the mechanic or just ticked,negative,5,Nabeel A.,,,2023-03-24,0,0,1,,
"I asked to do paint touch up on scratches, they have used a different color from the car and wasn't done properly ",negative,7,Kamal Al Saber,,,2023-03-24,0,1,0,,
Comprehensive service with good discount. Thanks,positive,10,Parag Laxmayyan,,,2023-03-25,1,0,0,,
"In between the service ( Right now only I'm happy ) because "" Juan, service advisor his very clearly explained each and everything's""
In future also ( Insha Allah ) I'm going to deal with him.

Thanks & regards
M. M. Amanulla.",positive,10,Juan Kasilag,,,2023-03-25,1,0,0,,
There's nothing. Thank you.,positive,10,Faisal AliAhmed,,,2023-03-25,1,0,0,,
Prices are high compared to other workshops,positive,9,Avtik Raje,,,2023-03-25,1,0,0,,
Rates need to be competitive,negative,10,Parag Laxmayyan,,,2023-03-25,1,0,0,,
Not satisfied,negative,0,Charbel Semaan,,,2023-03-25,0,0,1,,
"Thanks good service 
Thanks and big appreciate to Mr.Nabeel advisor .",positive,10,Nabeel A.,,,2023-03-27,1,0,0,,
Nice service and kind employee,positive,10,Aswad Karim,,,2023-03-27,1,0,0,,
Very good thanks,positive,8,Nabeel A.,,,2023-03-27,0,1,0,,
I hope that the prices of maintenance packages will be cheaper in the future to suit everyone. Thank you,positive,9,Mohammed Osman,,,2023-03-27,1,0,0,,
Please provide service advisors who speak Arabic as I was looking for someone who spoke Arabic but I couldn't find it so that I could inquire about some matters and prices clearly,positive,10,Marla Nunez,,,2023-03-27,1,0,0,,
Change advisor and cashier ( specifically) cashier very rude with customer,negative,0,Mohammed Osman,,,2023-03-27,0,0,1,,
"The rear door has been replaced because there is sound, but the sound is there ",negative,8,Charbel Semaan,,,2023-03-27,0,1,0,,
"When I was told to replace some parts, I said proceed. Later he said parts not available. 

Secondly, my car was not washed/cleaned
I made same comment in last service as well",negative,0,Khalil Rahman,,,2023-03-27,0,0,1,,
This is the my new car. I have an application for a start the engine and driving the car that doesn’t work and the service people did not help me with this.,negative,5,Mohammed Osman,,,2023-03-27,0,0,1,,
They scratched my car and delayed my car recovery and didn't send clear record of what was repaired,negative,5,Juan Kasilag,,,2023-03-27,0,0,1,,
Excellent customer service!,positive,10,Charbel Semaan,,,2023-03-28,1,0,0,,
Please fix some of the problems in the happy app,positive,10,Parag Laxmayyan,,,2023-03-28,1,0,0,,
Send email copy of the job card so we can have record and better understand.,positive,8,Abuthahir T.S.,,,2023-03-28,0,1,0,,
"The car always comes dirty not properly washed , 
",negative,3,Salwa Rboub,,,2023-03-28,0,0,1,,
Mr. Adnan was quite humble and polite. He was very experienced in what he did. He recommended many services that were provided by the workshop. The quality of work and the time was highly commendable.,positive,10,Adnan Aslam,,,2023-03-29,1,0,0,,
There is no,positive,10,Janidu Harindra,,,2023-03-29,1,0,0,,
Thank you 🙏🏻,positive,10,Charbel Semaan,,,2023-03-29,1,0,0,,
Thanks for mr Mahmoud for his work and cooperation,positive,10,Mahmoud Wahhab,,,2023-03-29,1,0,0,,
Thanks for the emergent action in fixing the problem of my car.,positive,9,Marla Nunez,,,2023-03-29,1,0,0,,
Great service,positive,10,Abuthahir T.S.,,,2023-03-29,1,0,0,,
Better price for the service. The cost was too too much. The staff are good but your charges are over the top.,negative,4,Janidu Harindra,,,2023-03-29,0,0,1,,
The price is very exaggerated. 👎🏼👎🏼👎🏼👎🏼👎🏼,negative,0,Aries M.,,,2023-03-29,0,0,1,,
Kindly revisit Nissan services cost price as it is so expensive,negative,0,Marla Nunez,,,2023-03-29,0,0,1,,
Thank you so much for keeping my car always in a good condition and a very good Customer service.,positive,9,Hany Sobhy,,,2023-03-30,1,0,0,,
"Everytime i went for a service, i always requested to clean the dusty engine.For the very first time i was satisfied to see how clean the engine is. I hope that this kind of work is not only during Ramadan but must be executed if the guest will ask for it. And if it is safe to do so.

Thank you for my service advisor on that day. And to all the staff.",positive,10,Mohammed Osman,,,2023-03-30,1,0,0,,
"Service all good. But can you PLEASE adjust the air conditioning In the saloon it is extremely cold.
Honestly I don’t understand how people can sit there and work it is freezing. ",positive,8,Nikhil Dinesh Karnad,,,2023-03-30,0,1,0,,
